word	abs
a	1857
a-t-elle	2
a-t-il	16
a-t-on	6
abaisse	3
abandon	2
abandonna	1
abandonnant	3
abandonne	7
abandonnent	1
abandonner	3
abandonnerais	1
abandonnons	1
abandonné	3
abandonnée	2
abandonnées	2
abat	1
abat-jour	5
abats	2
abattait	1
abattoir	2
abattoirs	2
abattre	2
abattus	1
abbaye	9
abbeba	1
aberration	1
ablo	1
abondamment	5
abondance	23
abondant	9
abondante	14
abondantes	2
abondants	2
abonde	1
abondent	2
abondons	1
abonnement	3
abonnés	2
abord	59
abordable	2
abordables	16
aborde	1
aborder	4
abords	2
abordée	1
abouti	1
aboutissants	1
aboutissent	1
aboutit	3
abreuvoir	5
abri	4
abricot	1
abrita	2
abritait	3
abrite	9
abritent	5
abriter	1
abrité	2
abruzzes	1
abrège	1
abrégé	1
abrégée	1
absence	5
absent	9
absente	1
absents	3
absolu	1
absolue	5
absolument	68
absolus	1
absorbant	1
absorbe	3
absorber	7
absorberait	1
absorberont	1
absorbiez	1
absorbons	1
absorbé	9
absorbée	2
absorbées	1
absorption	2
abstenez-vous	1
abstenions	1
abstenir	2
abstiendrai-je	1
abstiens	1
abstient	1
abstraites	1
absurdes	1
abus	1
abuse	2
abusent	1
abuser	1
abusif	1
abusifs	2
abusivement	6
abusives	1
abîmée	1
ac	1
académie	2
acajou	4
acc	2
accent	20
accents	2
accentue	1
accentuent	1
accentuer	1
accentué	2
accentuée	1
accepta	2
acceptable	13
acceptai	2
acceptais	2
accepte	24
acceptent	1
accepter	11
accepterions-nous	1
acceptiez	1
acception	4
acceptons	7
accepté	4
accessible	4
accessibles	2
accessoirement	1
accessoires	3
accident	12
accidents	2
accises	1
accointances	2
accoler	1
accolées	1
accommode	4
accommodement	1
accommodent	2
accommodé	4
accommodée	2
accommodées	1
accommodés	3
accomoderait	1
accompagna	2
accompagnaient	1
accompagnait	8
accompagnant	3
accompagnants	2
accompagnateur	8
accompagnatrice	1
accompagne	29
accompagnement	16
accompagnements	1
accompagnent	16
accompagner	22
accompagnera	1
accompagnons	1
accompagné	30
accompagnée	27
accompagnées	19
accompagnés	12
accompli	1
accomplir	1
accomplis	1
accomplit	2
accord	29
accordait	1
accorde	1
accordent	1
accordez-moi	1
accordée	2
accordéon	4
accordéoniste	3
accordéonneux	1
accordéonniste	1
accorte	3
accortes	1
accotements	1
accouchement	2
accoudée	2
accoudés	1
accouplés	1
accoutume	1
accoutumé	1
accoutumée	1
accoutumés	1
accroche	1
accrocher	1
accroché	5
accrochée	4
accrochées	10
accrochés	11
accroît	1
accrue	1
accueil	28
accueillant	9
accueillante	9
accueillantes	2
accueillants	1
accueille	71
accueillent	1
accueilleévidemment	1
accueilli	3
accueillir	24
accueillis	9
accueillit	1
accumulent	1
accumuler	1
accuse	2
accuser	1
accusés	2
accède	20
accèdent	1
accès	18
accéder	4
accédez	1
accélèrent	1
accélération	1
accéléré	1
acerbe	3
acerbes	3
achalandé	3
achalandée	1
acharnement	1
acharnés	1
achat	2
achats	5
achetait	1
achetant	2
acheter	4
acheteur	1
achetez	2
acheté	5
achetée	2
achetés	1
achevai	1
achevaient	1
achevant	3
achever	17
achevons	6
achevé	7
achevée	2
achevés	1
achète	3
achètent	1
achèterait	1
achèteriez	1
achève	14
achèvement	7
achèvent	1
achèverai	1
acidité	1
acidulé	1
aciers	1
acker	2
acolytes	3
acquiesce	1
acquiescer	1
acquis	1
acquisition	1
acquit	1
acquitte	1
acquittement	1
acquittent	1
acquitter	1
acquérir	1
acremant	1
acrobatique	1
acte	2
actes	1
acteur	2
acteurs	1
actif	4
actifs	1
action	5
active	2
activement	1
actives	1
activité	9
activités	2
activés	1
actons	1
actualité	1
actuel	20
